Title,Location,Company,Salary,Summary
Life Scientist/Environmental Engineer/Physical Scientist,"Philadelphia, PA",US Other Agencies and Independent Organizations,"$84,231 - $130,211 a year",Current federal employee with competitive status; reinstatement eligible; ICTAP/CTAP eligible -Current/former federal employee eligible under misc act/authority…
Entry Level Product Compliance Engineer,"Beaverton, OR",Tektronix,None,"In this way, the Product Environmental Compliance Engineer will support new product design and sustaining engineering activities worldwide."
Environmental Compliance PM,"Redmond, WA 98052 (Overlake area)",Microsoft,None,"Assist the site selection, datacenter design, and energy teams on environmental due diligence for potential sites.Air Quality permitting and compliance."
"Civil Environmental Engineer, Entry level","Arlington, VA 22203 (Ballston-Virginia Square area)",Carollo Engineers Inc.,None,Work on engineering planning and design projects.Performing engineering work in water and wastewater treatment and conveyance infrastructure.
Staff Environmental Engineer/Scientist (Entry Level),"Salt Lake City, UT",ERM Group,None,"Perform environmental compliance assessments and implement follow-up corrective actions to ensure compliance with federal, state, and local regulations."
Entry to Mid-Level Environmental Staff Geologist or Engineer,"Sunnyvale, CA 94085 (East Murphy area)",Cornerstone Earth Group,None,"This professional must be passionate about quality and customer service with outstanding interpersonal, motivational and leadership abilities."
Assistant Environmental Engineer,"New York, NY",AZH Consulting Corp,$35 an hour,"Experience in reviewing design and construction drawings.Activities, planning and coordinating field activities, design/construction."
Environmental Engineer,"Bessemer, AL 35020","U.S. Pipe, A Forterra Company",None,Maintains and executes plant wide environmental compliance training.Coordinates or assists with capital jobs relating to environmental functions; shutdown work…
Environmental Engineer,"Long Beach, CA 90806",AECOM,None,+ Conducts engineering design under the supervision of an experienced engineer.+ Builds analytic and design skills.+ Valid California State Driver's License.
SUPERVISORY ENVIRONMENTAL ENGINEER,"Bangor, WA",US Department of the Navy,"$100,940 - $131,223 a year","You will serve as the senior engineer and technical authority with responsibility for coordination, execution, and/or oversight of assigned environmental…"
Environmental Engineer,"Newburgh, IN 47630",Alcoa Corporation,None,Working knowledge of environmental regulations; experience with environmental field work.Drive continuous improvement of environmental programs across the…
Environmental Engineer,"Allegheny County, PA",Commonwealth of PA,"$65,761 - $89,448 a year","MINIMUM EXPERIENCE AND TRAINING: Two years as an Environmental Engineering Specialist; OR three years of professional experience in environmental engineering,…"
Environmental Engineer (Associate Level),"Seattle, WA",ERM Group,None,"Assist with development of health and safety plans, engineering design reports, sampling and analysis plans.Desire to learn Project Management tasks."
Environmental Engineer,"Hanover, MD 21076",Specialized Engineering,"$95,000 - $110,000 a year","Environmental engineering: 10 years (Required).Relevant experience must be working in an environmental engineering capacity (e.g., air pollution, water quality…"
Environmental Engineer,"Springdale, AR",Arconic,None,"Conducts ""environmental Gemba-walks"" observing opportunities for improvement and confirming that environmental sound work practices are occurring;"
(Entry-level) Environmental Engineer,"Dallas, TX 75234",APTIM,None,"Typical general environmental tasks would include groundwater, soil, and air sampling, supervision of environmental and clean construction scopes, and…"
Environmental Engineer,"Horsham, PA",TMS International,"$60,000 - $74,000 a year","Meet and work with municipal, state and federal agencies regarding environmental regulations related to operations.Two or more years of engineering experience."
Environmental Scientist or Engineer - Sustainability Focus,"Ann Arbor, MI 48108",LimnoTech,None,"Watershed, stream and lake restoration planning, and design.Stormwater management, planning, and design.Ecosystem restoration assessment and design."
Environmental Engineer / Scientist,"San Diego, CA 92123",Wood Plc,None,"Consulting for federal, municipal, commercial and industrial environmental investigation and restoration projects."
"Experienced, Electromagnetic Environmental Effects (E3) Engi...","Everett, WA",BOEING,None,"Performs E3 trade studies, modeling, simulation and other forms of analysis to predict component, interconnects and system performance and to optimize design…"
Environmental Engineer III,"Salt Lake County, UT",State of Utah,$21.97 - $45.70 an hour,Experience maintaining liaison with water systems and design engineers and coordinating the environmental rules and regulations.
Environmental Engineer,"Geismar, LA 70734",Occidental,None,"Continually assesses plant environmental performance and evaluates the effectiveness of environmental programs.Ability to read, write and speak in English."
Regional Environmental Manager - US Amazon Robotics Non-Sort,United States,Amazon.com Services LLC,None,"Knowledge of US state and federal environmental regulations.Bachelor’s Degree in civil, chemical or environmental engineering or environmental related field of…"
Industrial Hygienist/Environmental Engineer,"Washington, DC",US Other Agencies and Independent Organizations,"$60,129 - $94,581 a year",Your answers to the online assessment will be used to evaluate your competencies in the following areas: 1) Ability to analyze and evaluate scientific data to…
Environmental Engineer,"Lakewood, CO",Martin Marietta Materials,"From $60,000 a year",Prior experience with environmental compliance reporting required.3 - 5 years environmental permitting and/or regulatory experience.
SUPERVISORY INTERDISCIPLINARY ENVIRONMENTAL ENGINEER/PHYSICA...,"Naval Air Station Whidbey Island, WA",US Department of the Navy,"$100,940 - $131,223 a year",You will develop environmental contracts to enable customers to meet their compliance requirements.Implement a facility environmental quality assessment…
Environmental Engineer,"Petersburg, VA 23805",AMPAC Fine Chemicals,None,Conduct onsite internal environmental audits to assess the effectiveness of EH&S compliance programs.Oversee monitoring for fugitive emissions throughout…
US Navy Environmental Qualification Testing (EQT) Engineer,"King George, VA 22485",TMC TECHNOLOGIES,None,"Assist with the completion of required analysis (Power, EMI, and Noise) with TWH concurrence on the analysis for the MK6 MOD1 design."
Environmental Engineer,"Lowell, MA 01854",TRC Companies Inc,None,"Technical project expertise in environmental investigations, remediation, environmental compliance.Perform remediation system design work."
Environmental Engineer,"Los Alamos, NM",Gem Technologies Inc,None,Provide technical support for environmental remediation projects.Have direct experience working in environmental databases.Notify changes for sample prefixes.
Environmental engineer,"South Portland, ME 04106",Innovative Engineering Solutions,None,"Two plus years of engineering or environmental consulting experience.Minimum of a bachelor’s degree in Engineering (Environmental, Civil, Mechanical, or…"
Environmental Compliance Engineer,"Atlanta, GA 30339",O'Brien & Gere,None,Participate in field environmental studies and inspections.Use prescribed and established methods to perform specific and limited portions of scientific…
APPLIED ENVIRONMENTAL MICROBIOLOGY POSTDOCTORAL RESEARCH ASS...,"Idaho Falls, ID",Idaho National Laboratory,None,"The candidate will contribute to development of research strategies, design and execute laboratory experiments, and perform data analysis and interpretation."
589907 - Staff Environmental Engineer or Scientist,"Kennesaw, GA",Geosyntec Consultants,None,"Analysis, interpretation, and management of environmental data using appropriate computer applications;Knowledge of regulatory requirements (e.g., CERCLA)…"
Environmental Position (Entry and Staff level) for Environme...,"Dallas, TX 75220 (Preston Hollow area)","Giles Engineering Associates, Inc.",None,"Staff Level Qualifications and Responsibilities: Must have a B.S. degree (M.S. preferred) in hydrogeology, geology, or civil/environmental engineering or other…"
Environmental Engineer,"Fort Worth, TX 76131 (Far North area)","C&E SERVICES, INC.",$32 - $55 an hour,"Engineers must have a bachelor's degree in environmental engineering or a related field, such as civil, chemical, or general engineering."
Life Scientist/Physical Scientist/ Environmental Engineer (R...,"New York, NY",US Other Agencies and Independent Organizations,"$50,476 - $80,263 a year","Your answers to the online assessment will be used to evaluate your competencies in the following areas: 1) Ability to read, understand and apply a variety of…"
Field Environmental Engineer,"Wheat Ridge, CO 80033",Terracon,"$51,800 - $72,500 a year","Your office work will include: reviewing, analyzing and reducing data collected during fieldwork; groundwater modeling; assisting in remedial and vapor…"
Environmental Engineer,"Cape Canaveral, FL 32920",ASR International Corp,$35 - $55 an hour,Address problems and develop environmental solutions to prevent damage.Provide system and component design that reduce negative impact on environment.
Environmental Engineer,"Norco, LA",Valero Energy Corporation,None,"Minimum two years of environmental engineering or related experience required.Experience with permitting environmental procedures, auditing, and regulatory…"
ENVIRONMENTAL ENGINEER SPECIALIST,"Avondale, AZ",State of Arizona,"$60,000 - $65,000 a year","This position will includes, research, design, plan and perform engineering duties in the prevention, control and remediation of environmental hazards using…"
Staff Environmental Geologist or Engineer (Entry Level),"Sacramento, CA",ERM Group,None,"Provide construction oversight on environmental remediation projects, and operations and maintenance of environmental remediation systems."
Environmental Engineer District Offices,"Atlanta, GA",Environmental Protection Division - EPD,"$54,424 a year","Bachelor's degree in agricultural, chemical, civil, environmental, civil-sanitary or mechanical engineering from an accredited college or university AND One…"
Hydrogeologist/Environmental Engineer,"Seattle, WA 98104 (Downtown area)",Integral Consulting Inc.,"$50,000 - $100,000 a year",Experience in environmental field sampling plan development and execution.The desired candidate will be a detail-oriented team player who can provide technical…
Entry-Level Environmental Engineer,"Norwood, MA 02062",GZA,None,"GZA is an employee-owned multidisciplinary environmental consulting, geotechnical engineering, geo-civil engineering, construction management and environmental…"
Environmental Engineer Specialist 1-3 - Drinking Water,"Phoenix, AZ 85007 (Central City area)",AZ Dept of Environmental Quality,"$50,000 - $75,000 a year","Review and approve environmental permit applications for public water systems including design reports, construction plans, analytical data and cost estimates."
Environmental Engineer/Geologist,"Traverse City, MI",GEI Consultants Inc,None,"0-2 years of previous professional experience in environmental consulting, knowledge of Michigan environmental regulations a plus.Valid U.S. Driver s license."
Environmental Engineer/Geologist/Scientist,"Mount Laurel, NJ 08054",GEI Consultants Inc,None,"Candidates will work with engineers, contractors, and clients assisting staff with data collection, management, and review for a wide range of environmental…"
"Environmental Engineer - West Point, VA","West Point, VA 23181",WestRock,None,"Assist or manage projects that may include air emissions testing, trials using new equipment or materials, developing new procedures or training materials for…"
Environmental Engineer (L5),"Portland, OR 97217 (Overlook area)",Daimler,None,Conduct facility environmental permitting and participate in environmental audits.Position functions as the environmental engineer providing analytical and…
584256 - Environmental Engineer,"Colorado Springs, CO",Geosyntec Consultants,None,"Project experience involving environmental engineering and environmental assessment.Prepare and review engineering documentation including, design reports,…"
Environmental Engineer / Scientist / Geologist,"Salt Lake City, UT",Wood Plc,None,"Wood’s South Jordan office provides a broad range of services in engineering and environmental sciences including environmental assessment and remediation,…"
Environmental Engineer,"Saint Gabriel, LA 70776",Syngenta,None,Work with Operations and Service Groups to ensure environmental regulations are met.Understand market needs and quickly be able to make changes or develop…
ENTRY LEVEL ENVIRONMENTAL ENGINEER/SCIENTIST,"Rockaway, NJ 07866","E2 Project Management, LLC",None,"Experience in conducting site investigations, remedial design, remediation and operation of remedial systems, etc.Environmental work: 1 year (Preferred)."
Environmental Permitting and Compliance Engineer or Scientis...,"New York, NY","Langan Engineering and Environmental Services, Inc...",None,"Ideally will possess internship experience working with regulations and environmental permitting, or post-college professional experience;"
Sr. Electromagnetic Environmental Effects Engineer,"Redmond, WA",Amazon.com Services LLC,None,Work with hardware design teams as a subject matter expert in electromagnetic environmental effects throughout the end-to-end development process including…
Environmental Engineer,United States,World Oil Refining,None,"Conducts internal environmental compliance auditing.This position requires a person who, in a dynamic working environment, can manage complex environmental…"
Entry Level Water Resources Engineer,"Dallas, TX 75202 (Near East area)",Jacobs,None,"BS in Civil or Environmental Engineering with emphasis on water resources.0-2 years of experience as a Water Resources Engineer.Ideally, you’ll also have:"
"Environmental Engineers, Scientists, or Geologists - Entry L...","Pittsburgh, PA","Langan Engineering and Environmental Services, Inc...",None,"Working knowledge of MS Word, MS Excel, and AutoCAD design software, GIS a plus;Daily activities may include oversight of environmental drilling and well…"
Environmental/Ecological Engineer,"Nashville, TN",Barge Design Solutions,None,Provides technical expertise and guidance regarding stream and wetland restoration and mitigation design.Performs field work associated with stream and wetland…
Sr Environmental Engineer,"Green River, WY 82935",Solvay,None,"BS degree in Environmental Engineering is required with a minimum of 7 years of environmental experience;Provide engineering support for air, land, and water…"
Environmental Field Engineer,"Saint Paul, MN 55103 (Thomas Dale area)",Bay West LLC,None,"Minimum 1-3 years of related environmental consulting experience including waste handling, environmental remediation systems."
Global Environmental Manager,"Santa Clara Valley, CA 95014",Apple,None,"Provide leadership, direction, and education of key strategic initiatives targeted at ensuring environmental compliance and environmental program advancement."
Environmental Scientist or Engineer,"King of Prussia, PA 19406",Tetra Tech,None,"Working collaboratively with and under the supervision of a senior scientist, senior engineer or project manager, you will provide support for environmental…"
Flood District Chief Engineer,"King County, WA",King County,None,Summary King County is supporting this recruitment in collaboration with the King County Flood Control District. Please see application instructions and…
Environmental Engineer/Environmental Scientist/Geologist,"Township of Warren, NJ",Whitestone Associates,None,"Position includes performing and overseeing field activities, subcontracted services, and reporting associated with environmental due diligence and remedial…"
Staff Environmental Engineer (Entry Level),"Raleigh, NC",ERM Group,None,"Perform Phase I and II environmental site assessments to support property transfer transactions.Assist in ensuring compliance with all federal, state and local…"
Environmental Health Sciences Research Assistant,"Fairfax, VA 22031",ICF,None,Experience with environmental science systematic reviews is a plus.Conduct study data extraction using electronic systematic review procedures and tools.
"Engineer, Environmental","Austin, TX 78754",Samsung Electronics,None,"Bachelor of Science in environmental science, engineering or closely related field.10+ years in environmental and compliance program management associated with…"
"Staff Environmental Engineer, Staff Environmental Scientist,...","Anchorage, AK",ERM Group,None,"BS in environmental engineering, environmental science, geology or a related degree.Apply academic knowledge and technical training to address environmental…"
Plant Environmental Control Engineer (PECE) – Research and E...,"Dearborn, MI",Ford Motor Company,None,Provide required environmental training to plant employees.Fundamental understanding of environmental rules and regulations.
Environmental Engineer,"Collegedale, TN 37315",McKee Foods,None,Familiarity with CAD and design software.Responsible for environmental program implementation and communicating and enforcing company environmental compliance…
Environmental Geologist/Engineer,"Saint Paul, MN 55103 (Thomas Dale area)",Bay West LLC,None,"Experience on federal environmental restoration projects under the DoD (including USACE, USAEC, AFCEC & NAVFAC and/or US-EPA)."
"Environmental Engineer* (Cordova, IL)","Cordova, IL",3M,None,"Communicating environmental projects and/or program status and results to operational leadership.Analyzing environmental data, self-assessments, reports,…"
Production Engineer (Entry Level),"Green River, WY 82935","GENESIS ENERGY, LLC",None,"Pension for Hourly Union employees plus an opportunity to participate in a 401(k) savings plan.AS a Production Engineer, you'll have the opportunity to rotate…"
Environmental Engineer - DIRECT HIRE,"Sacramento, CA",US Department of the Army,"$38,434 - $109,792 a year",Establish and maintains close contact with regulating agencies to ensure all investigation and design actions are in accordance with applicable regulations.
PHYSICAL SCIENTIST (ENVIRONMENTAL),"Andrews AFB, MD",US Department of the Air Force,"$103,690 - $134,798 a year","Examples of specialized experience includes experience in engineering or scientific theories, principles, concepts, standards, and methods to resolve unique or…"
Entry Level Professional in Environmental & International De...,"Waltham, MA 02451","The Cadmus Group, Inc.",None,"Experience conducting Geographic Information System (GIS) analysis and mapping, particularly using ArcGIS.Core services include environmental and social impact…"
ENGINEER I,"Miami, FL","City of Miami, FL",$28.22 an hour,"This is professional entry-level engineering work in the office and field involving the design, construction, inspection, and project management of less complex…"
Environmental Engineer Watershed Protection Branch,"Atlanta, GA",Environmental Protection Division - EPD,"$54,424 a year","Bachelor's degree in agricultural, chemical, civil, environmental, civil-sanitary or mechanical engineering from an accredited college or university AND One…"
Environmental Engineer,"Boston, MA 02130 (Jamaica Plain area)",Department of Public Health,"$58,732 - $86,044 a year",The selected candidate will be responsible for compliance by MSPHL with all environmental and safety regulatory agencies.Reasonable Dental and Vision Plans.
Environmental Engineer/Associate,"Washington, DC",JLL,None,"Providing guidance and assistance to the federal environmental , as needed, to accomplish government requirements."
Environmental Engineer III - PTV,"Seattle, WA 98194 (Downtown area)",AECOM,None,"AECOM is currently seeking a Part time Mid-Level Engineer to assist with remedial investigations, design, construction, operation, and maintenance of…"
"Environmental Scientist, Geologist or Engineer - Entry to 3...","Bethlehem, PA 18018","Langan Engineering and Environmental Services, Inc...",None,"Knowledge of how to conduct wetland delineations and environmental site assessments;Bachelor’s degree in Environmental Science, Geology, Biology, Engineering…"
Environmental Scientist/ Staff Engineer,"Houston, TX 77072 (Alief area)",HVJ Associates,None,Perform logging for environmental borings if needed.Prepare environmental boring logs based on field and lab data.A Geology degree is preferred.
Staff Environmental Engineer/Scientist,"Vancouver, WA",PBS Engineering and Environmental Inc.,None,The Vancouver Staff Environmental Engineer/Scientist position will involve technical work on a wide range of environmental projects including multi-media…
Staff Environmental Engineer/Scientist,"Rocky Hill, CT 06067",Terracon,None,"The successful candidate will be eager to learn and grow into all phases of environmental consultation including site assessments, investigations, remediation,…"
Environmental Engineer or Geologist,"Fishkill, NY 12524","Kleinfelder, Inc.",None,The scope of work will include the entire project lifecycle from site investigation through remedial design and implementation including oversight of…
Environmental Engineer - Entry Level,"Doylestown, PA","Langan Engineering and Environmental Services, Inc...",None,"As the successful candidate, you will have an enthusiastic, can-do attitude with strong interest in performing: environmental site investigation and remediation…"
Civil/Environmental Engineer,"Traverse City, MI 49686",Gosling Czubak Engineering Sciences,"$42,000 - $52,000 a year","Duties would include assisting engineers in field work, designing and preparing reports on municipal and private development infrastructure systems, wastewater…"
Environmental Engineer/Scientist,"Mountain View, CA 94043 (Wagon Wheel area)",Locus Technologies,None,Locus has an opening for an EHS Business Analyst/Implementation Specialist to support its software solutions for new and existing customers.
Environmental Engineer (Plant Engineer C),"Palo Alto, CA 94304",Communications & Power Industries,None,"Actively participate in local and state environmental, trade, and other such organizations for sharing rapidly changing information."
Environmental Engineer,"Louisville, KY",Reynolds Consumer Products,None,You will also work with the engineering department for environmental compliance on all engineering projects.Participate in injury and accident investigations.
Environmental Engineering,United States,Central Michigan University,None,The School of Engineering and Technology presently has 26 full-time faculty members and also offers an undergraduate major in product design engineering…
Assistant to Environmental Engineer,"Miami Lakes, FL 33016","US South Engineering & Testing Lab, Inc.",$16 an hour,"Big Plus, Familiarity with quality assurance, documentation, environmental rules, regulations and best practices.This is a full-time position."
Junior Level Environmental Professional - Engineer,"Syracuse, NY",EA Engineering Science and Technology,None,"The candidate will be responsible for assisting in the planning, fieldwork, and reporting phases for a wide range of multidisciplinary environmental projects,…"
Staff Environmental Engineer or Scientist,"Kennesaw, GA 30144","Geosyntec Consultants, Inc.",None,"Analysis, interpretation, and management of environmental data using appropriate computer applications;Knowledge of regulatory requirements (e.g., CERCLA)…"
SENIOR ENVIRONMENTAL ENGINEER CAPITAL PROJECTS,"Allentown, PA",Air Products,None,Develop effective relationships with environmental regulatory agency leadership to influence agency policy and the regulatory rule making to support Air…
Associate Environmental Engineer,"Hudson, MA 01749",ECC,None,"Four years of progressively responsible experience performing in-situ or ex-situ environmental systems design, field engineering support, or quality control on…"
Environmental Program Manager - EMS,"Seattle, WA",Amazon.com Services LLC,None,The EPM will develop policies and workflows to support a global EMS and provide guidance to regional environmental and operations teams regarding EMS…
Environmental Compliance Engineer (Experienced),"Niskayuna, NY 12309",Naval Nuclear Laboratory,None,Desire to mentor junior engineers in the field of environmental management.Oversight role focuses on on the development and/or follow of programs or projects…
"591152 - Entry Level Remediation Engineer, Scientist, or Geo...","Acton, MA 01720",Geosyntec Consultants,None,"Groundwater and soil remedy evaluation, cost estimation, design calculations, and implementation;Advanced degree in environmental, civil, or chemical…"
Environmental Engineer 3 (EE3) - (With In-Training Option) -...,"Skagit County, WA",State of Washington Dept. of Fish and Wildlife,"$5,229 - $7,957 a month","Negotiates for plan, project and/or design specifications.Performs design calculations for fish passage analysis, geomorphology, stream hydrology, open channel…"
"Environmental Scientist, Engineer or Radiation Health Physic...","Oakland, CA 94612 (Lakewide area)",Tetra Tech,None,Strong leadership skills and ability to lead small sampling teams without direct supervision.Recommend adaptations and modifications of scientific or…
Staff Environmental Engineer/Geologist/Scientist,"San Francisco, CA",CDIM ENGINEERING,None,"Introductory knowledge of and experience with California and federal environmental regulations.Interest in supporting CDIM project managers in: sediment, water…"
CIVIL or ENVIRONMENTAL ENGINEER,"Jefferson City, MO 65101",Gredell Engineering Resources,None,CIVIL or ENVIRONMENTAL ENGINEER POSITION - Jefferson…
Environmental Engineer / Environmental Scientist,"Ann Arbor, MI 48108",LimnoTech,None,"Watershed, stream, and lake restoration planning and design.Stormwater management, planning, and design.Our scientists and engineers work closely with senior…"
Environmental Engineer,"Irvine, CA 92606 (Business District area)","Murex Environmental, Inc","$65,000 - $80,000 a year",3-5 years of demonstrated capability in the environmental science or engineering field.Qualifying candidates will have a masters degree in a scientific or…
Professional Environmental Engineer,"Shawnee County, KS",The State of Kansas,"$70,000 a year",Review and administer the most complex and difficult wastewater treatment facility design and construction projects funded by the Kansas Water Pollution Control…
Environmental Engineer,Pennsylvania,Delta Thermo Energy,None,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines…"
Environmental Engineer,"Coralville, IA 52241",VEENSTRA & KIMM,None,5+ years of engineering design experience preferred.Experience in municipal wastewater treatment and drinking water treatment design and construction.
Environmental Engineer,"Beaufort, SC 29906",Beaufort County,From $25.94 an hour,"Oversees the planning, design and construction of Stormwater projects for the County.ENVIRONMENTAL ENGINEER*: Under supervision of the Stormwater Manager,…"
Senior Environmental Engineer – Corrective Action (Environme...,"Lacey, WA",State of Washington Dept. of Ecology,"$80,292 - $105,384 a year","A Bachelor’s degree with major study in one of the following engineering fields; sanitary, water resource, civil, geotechnical, environmental, chemical,…"
Environmental Scientist / Engineer / Geologist,"Franklin, TN",GHD,None,"In this role, you will have the opportunity to contribute to the future of our Contamination Assessment & Remediation service line by performing investigations,…"
Systems Test Engineer - Environmental,"Pontiac, MI",Next Level Technology Inc.,"$82,000 a year","Bachelor’s degree in Electrical Engineering, Mechanical Engineering or Automotive Systems Engineering.3-5+ years’ experience in automotive electronics vehicle…"
Flood Engineer,"Boston, MA 02116 (Back Bay area)",Karen Clark & Company,None,Collaborate with scientists and engineers to develop the technical aspects of flood hazard and impacts models.Conduct model sensitivity and validation tests.
Environmental Scientist/Engineer,"Kennesaw, GA",Wood Plc,None,"Incumbent must have knowledge and experience providing water and wastewater environmental compliance consulting, specifically water and wastewater treatment and…"
Staff Geologist or Environmental Engineer,"Irvine, CA",SLR Consulting,None,"Knowledge of California environmental regulations.Preferable candidates will have a strong, relevant academic or employment background and a passion for…"
"Environmental Engineer I, II, III","Kearny, AZ",ASARCO,None,"A Bachelor’s degree in environmental engineering, environmental sciences or related field required.The environmental engineer will conduct data analysis,…"
Environmental Engineer,"Rocky Mount, NC",Cummins Inc.,None,"Plans and monitors project budget, conducts research and analysis; provides input into the design and development of project plans and timelines."
Life Scientist/Environmental Engineer/Physical Scientist (En...,"Philadelphia, PA",US Other Agencies and Independent Organizations,"$70,275 - $109,505 a year","To qualify for the GS-12 level, you need to have at least one year of full time experience equivalent to the GS-11 level defined as conducting site inspections…"
Environmental Due Diligence Practice Lead,"Edmonds, WA 98020",Landau Associates Inc.,None,"The ideal candidate will have a minimum of 10 years of experience in the civil/environmental engineering, geology, or environmental science fields with…"
"Sr. Engineer, Environmental","Ottawa, IL",SABIC - Saudi Basic Industries Corp.,None,"Provide technical direction and execution of critical environmental programs.Key interfaces include Operations and Maintenance leaders and technicians, project…"
Environment and Health - Entry-Level Civil/Environmental Eng...,"Syracuse, NY",Rambøll,None,We invite you to bring your engineering background into play as you support our Environment and Health Brand by providing design and analysis support to…
